"Invoice Totals Report
1001 : SewLab USA",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12/27/2017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  Date/Time,,Store_ID,,,,Inv #  ,,Cust #,,Cashier ID,PM,Total Cost,Total Price,,Tax1,Tax2,Tax3,Tax4,Tax5,Tax6,,GTotal,Gross,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2017  5:57: PM,,1001,,,,181,101,,,100101,CC,0.00,16.50,,0.99,0.00,0.00,0.00,0.00,0.00,,17.49,16.50,
11/26/2017  6:42: PM,,1001,,,,182,101,,,100101,CC,0.00,47.00,,2.82,0.00,0.00,0.00,0.00,0.00,,49.82,47.00,
11/26/2017  7:19: PM,,1001,,,,183,101,,,100101,CC,0.00,134.50,,8.07,0.00,0.00,0.00,0.00,0.00,,142.57,134.50,
,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2017,,,,,,,,,,,,0.00,1038.94,,62.34,0.00,0.00,0.00,0.00,0.00,,1101.28,1038.94,
,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2017  11:29: AM,,1001,,,,184,101,,,100101,CC,0.00,1.20,,0.07,0.00,0.00,0.00,0.00,0.00,,1.27,1.20,
12/1/2017  11:32: AM,,1001,,,,185,101,,,100101,CC,0.00,-1.20,,-0.07,0.00,0.00,0.00,0.00,0.00,,-1.27,-1.20,
12/1/2017  11:36: AM,,1001,,,,186,101,,,100101,CA,0.00,32.00,,1.92,0.00,0.00,0.00,0.00,0.00,,33.92,32.00,
12/1/2017  11:51: AM,,1001,,,,187,101,,,100101,CC,0.00,68.00,,4.08,0.00,0.00,0.00,0.00,0.00,,72.08,68.00,
12/1/2017  11:53: AM,,1001,,,,188,101,,,100101,CC,0.00,28.00,,1.68,0.00,0.00,0.00,0.00,0.00,,29.68,28.00,
12/1/2017  11:56: AM,,1001,,,,189,101,,,100101,CC,0.00,38.00,,2.28,0.00,0.00,0.00,0.00,0.00,,40.28,38.00,
